School Name,Start Date,End Date,Notes,Degree Name,Activities
Golden Gate University,Jul 2022,Jan 2024,,Master of Business Administration - MBA,Data Analysis for Managers | Fundamentals of Business | Management and Leadership | Marketing Management | Foundations of Business Analytics | Corporate Finance | Teamwork in Organization | Information Technology | Context of Business | Operations and Supply Chain Management | Strategic Analysis and Design | Business Planning (Capstone) | Concentrations * Business Analytics * Adaptive Leadership
The University of Texas at Austin,Jul 2020,Aug 2021,Python for Data Science | Statistical Methods for Decision Making | Advanced Statistics | Data Mining | Predictive Modeling | Machine Learning | Time Series Forecasting | Data Visualization using TABLEAU | SQL | Marketing & Retail Analytics | Capstone Project – PGP-DSBA,Post Graduate,
"Saurashtra University, Rajkot",Mar 2004,Mar 2008,,Bachelor of Engineering - BE,
S.G.Dholakiya School Rajkot Gujarat,Mar 2003,Mar 2004,,High School,
Swami Vivekananda School Rajkot Gujarat,Mar 2001,Mar 2002,,High School,
