Company Name,Title,Description,Location,Started On,Finished On
Deloitte,Manager,"Reporting to: Director Rajesh Chawla Direct Reportee: 06 Total Team: 50+  I manage client expectations within the engagement plan with main objectives to, - develop high-performing client service teams - Contribute to innovative approaches or solutions to resolve client/engagement issues - Demonstrate excellence in client service as evidenced through repeat business and referrals  I am proudly recognized for my technical capability in the specialist knowledge area where I, - Generate leads and demonstrate the ability to foster business contacts - Demonstrate effectiveness in planning and managing client engagements - Write and present core technical components of all client deliverables (e.g., reports, proposals) - Resolve client technical issues and escalation of unresolved issues to the appropriate person - Demonstrate effective risk management on all engagements and in all firm undertakings - Build knowledge management networks and research systems effectively - Manage knowledge sharing among staff and advises them regarding relevant firm knowledge sources   Service Areas:   Vendor risk scoring | Fraud analytics | Mobile wallet investigative analytics | Travel and expense analytics | Insurance claims analytics | NPA provision for NBFC and banking clients | 3-way reconciliation for FEMA compliance | Reconciliation of bank statements with the bank book/ledgers | Insider trading analytics | Automation of workflows using Alteryx or Knime | Re-computing interest and repayments on multiple loan products | Building scripts for identifying duplicate customers for assigning a unique customer identification code (UCIC) | Loyalty rewards points risk assessment and analysis | Logistics fraud analytics | AML led investigative analytics | Payroll analytics | Retail loan portfolio analytics | App. user diligence review [Google Analytics] | Data privacy - Keyword searches on multiple files using Python to identify any PI information such as credit cards, telephone numbers, etc.","Mumbai, Maharashtra, India",Jul 2022,
eClerx,Process Manager,"Reporting to: Senior Process Manager Siddhesh Nadakarni Total Team: 5 • Work with stakeholders to identify business opportunities that can be delivered using analytical solutions • Drive initiatives to simplify and improve business/technical processes • Lead teams to design, adapt, combine, and choose data science methodology (statistics, machine learning, optimization, simulation) to address complex analysis requirements via CRISP-DM process model delivery • Investigate data characteristics, complexity, quality, and meaning through visualizations and summarizations • Evaluate and validate effectiveness of models and validate performance to meet business objectives • Learning and practicing new tools and technologies in an ambitious techno-functional environment",Mumbai,Apr 2021,Jun 2022
Firmenich,Senior Business Analyst,"Reporting to: Manager Utpal Chakraborty Total team: 50+ * Perform the role of the senior technical analyst (Tech Lead) for a set of complex and challenging applications * Participate in incident resolution, programming, data extraction, and other operational activities in support of specific business applications * Propose solutions and strategies to business challenges * Be completely hands-on with programming and able to efficiently code and help developers with their development activities * Learning and adopting new technologies","Mumbai, Maharashtra, India",Feb 2015,Apr 2020
Dhanvi Informatics Solutions Pvt. Ltd.,Sr. Software Engineer,"Reporting to: Manager Hitesh Patel Total Team Size: 50+ * To perform impact analysis of required changes, suggest the best solution, and also work on the development of changes based in techno-functional documents * Leads the delivery of the committed requests/projects to committed time, specifications, and cost * Support super users by gathering requirements, follow up, translating business requirements into functional and technical specification * Suggest a process improvements, and supervising UAT * Developing technical handbooks to represent the design and code of new applications","Ahmedabad Area, India",Feb 2010,Feb 2015
Websters Netlink Pvt Ltd,Software Engineer,"* Assisting the Manager with all aspects of software design and coding * Testing source code and debugging code * Monitoring the technical performance of internal systems * Working with an agile team to develop, test, and maintain web and desktop-based business applications",,Dec 2009,Feb 2010
Sierra Atlantic Software Solutions Ltd,Junier Software Engineer,"Reporting to: Manager Ashwin Solanki Total Team Size: 50+ * Learning the codebase and improving your coding skills * Design, develop, and unit test applications in accordance with established standards * Perform functional testing * Application support and development",,Nov 2008,Sep 2009
