Title,Description,Url,Started On,Finished On
Customer Bhaviour Analysis,"Cardio Good Fitness Case Study - Descriptive Statistics The market research team at AdRight is assigned the task to identify the profile of the typical customer for each treadmill product offered by CardioGood Fitness. The market research team decides to investigate whether there are differences across the product lines with respect to customer characteristics. The team decides to collect data on individuals who purchased a treadmill at a CardioGoodFitness retail store during the prior three months. The data are stored in the CardioGoodFitness.csv file.  The team identifies the following customer variables to study:    - product purchased, TM195, TM498, or TM798;    - gender;    - age, in years;    - education, in years;    - relationship status, single or partnered;    - annual household income ;    - average number of times the customer plans to use the treadmill each week;    - average number of miles the customer expects to walk/run each week;    - and self-rated fitness on an 1-to-5 scale, where 1 is poor shape and 5 is excellent shape.  Perform descriptive analytics to create a customer profile for each CardioGood Fitness treadmill product line.",https://github.com/theshreyansh/Customer-Behaviour-Analysis,Mar 2020,Jul 2020
Detecting Parkinsons Disease With Python & Machine Learning,"Detecting Parkinson’s Disease – Python Machine Learning Project  What is Parkinson’s Disease? Parkinson’s disease is a progressive disorder of the central nervous system affecting movement and inducing tremors and stiffness. It has 5 stages to it and affects more than 1 million individuals every year in India. This is chronic and has no cure yet. It is a neurodegenerative disorder affecting dopamine-producing neurons in the brain.  What is XGBoost? XGBoost is a new Machine Learning algorithm designed with speed and performance in mind. XGBoost stands for eXtreme Gradient Boosting and is based on decision trees. In this project, we will import the XGBClassifier from the xgboost library; this is an implementation of the scikit-learn API for XGBoost classification.  Summary In this Python machine learning project, we learned to detect the presence of Parkinson’s Disease in individuals using various factors. We used an XGBClassifier for this and made use of the sklearn library to prepare the dataset. This gives us an accuracy of 94.87%, which is great considering the number of lines of code in this python project.",https://theshreyansh.github.io/Detecting-Parkinsons-Disease,Jul 2020,Aug 2020
Exploratory Data Analysis - Insurance Data - Using Python,"Health insurance in India is a growing segment of India's economy. The Indian health system is one of the largest in the world, with the number of people it concerns: nearly 1.3 billion potential beneficiaries. The health industry in India has rapidly become one of the most important sectors in the country in terms of income and job creation. In 2018, one hundred million Indian households (500 million people) do not benefit from health coverage. In 2011, 3.9%[1] of India's gross domestic product was spent in the health sector.  This financial burden has been one of the main reasons for the introduction of health insurance covering the hospital costs of the poorest.",https://theshreyansh.github.io/Insurance-Data-Analysis,Jan 2019,Feb 2019
Exploratory Data Analysis COVID19 [Indian Data] Using Python,COVID19 Indian data analysis based on the below details: Age Group Details Covid19 India Hospital Beds In India Statewise ICMR Testing Labs Individual Details Population India Census-2011 Statewise Testing Progress Details,https://theshreyansh.github.io/Exploratory_Data_Analysis_Covid19_Indian_Data/,Mar 2020,Jun 2020
Uber Drive Trip Analysis,"The project is based on the trips made by Uber drivers. Different aspects of the trip are analyzed by using different functions in Python.  Skills and Tools: Python notebook, Pandas, Numpy, Python Functions, Data Interpretation, Data Wrangling, Data Minning",https://eportfolio.greatlearning.in/shreyansh-k-vaghela,Feb 2020,Sep 2020
"Statistical & Probabilistic Analysis of Store Sales, University Survey, & Manufacturing data","The project involved drawing inferences from 3 case studies, namely -  1- Wholesale Customer Data (Store Sales),  2- University Survey Data 3- Manufacturing Shingles Data.   The concepts of various measures of Descriptive Statistics, Probability and Probability Distributions and various measures of Estimation & Hypothesis Testing are used to analyze these case studies.  Skills and Tools: Descriptive Statistics, Probability & Probability Distributions, Estimation, Hypothesis Testing",https://eportfolio.greatlearning.in/shreyansh-k-vaghela,Apr 2020,Nov 2020
Drug Analysis using ANOVA and Principal Component Analysis on College Admissions Data,"The project involved drawing inferences from 2 case studies, namely - Hay Fever Drug Analysis, College Admissions Data. The concepts of Exploratory Data Analysis, Analysis of Variance, and Principal Component Analysis are used to draw inferences from these case studies.  Skills and Tools: t Test, z Test, ANOVA Test, Principal Component Analysis, Exploratory Data Analysis",https://eportfolio.greatlearning.in/shreyansh-k-vaghela,Jun 2020,Dec 2020
Bank Customer Segmentation and Insurance Claim Prediction,"The project involved drawing inferences from 2 case studies, namely - Bank Marketing & Insurance. The concepts of Clustering, CART, Random Forest, Artificial Neural Network are used to draw inferences from these case studies. Various performance metrics have been used to validate the performance of predictions on Test & Train sets.  Skills and Tools: Decision Tree, Bagging, Boosting, Clustering, CART, Random Forest, Artificial Neural Networks",https://eportfolio.greatlearning.in/shreyansh-k-vaghela,Aug 2020,Feb 2021
Gems & Holiday Package Prediction,"This project is based on 2 cases studies :  1- Gems Price Prediction 2- Holiday Package prediction.   In the first case study, concepts of linear regression are tested and it is expected from the learner to predict the price of gems based on multiple variables to help company maximize profits. In the second case, concepts of logistic regression and linear discriminant analysis are tested. One has to predict if the customer will purchase the holiday package to target the relevant customer base.  Skills and Tools: Linear Regression, Logistic Regression, Linear discriminant Analysis",https://eportfolio.greatlearning.in/shreyansh-k-vaghela,Oct 2020,Dec 2020
Gems & Holiday Package Prediction,"This project is based on 2 cases studies :  1- Gems Price Prediction 2- Holiday Package prediction.   In the first case study, concepts of linear regression are tested and it is expected from the learner to predict the price of gems based on multiple variables to help company maximize profits. In the second case, concepts of logistic regression and linear discriminant analysis are tested. One has to predict if the customer will purchase the holiday package to target the relevant customer base.  Skills and Tools: Linear Regression, Logistic Regression, Linear discriminant Analysis",https://eportfolio.greatlearning.in/shreyansh-k-vaghela,Oct 2020,Dec 2020
